InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,40,0.07166427647000399,YES
1,28,0.0,NO
2,28,0.0,NO
3,449,0.02,YES
4,1358,0.47600000000000003,NO
5,25,0.0,NO
6,39,0.0,NO
7,50,0.0,NO
8,82,0.18,NO
9,41,0.36,NO
10,245,0.6,NO
11,227,0.7120000000000001,NO
12,363,0.96,NO
13,375,0.3,YES
14,145,0.14283022533022532,NO
15,49,0.0,NO
16,85,0.0,NO
17,64,0.0,NO
18,36,0.0,NO
19,37,0.0,NO
20,92,0.64,NO
21,32,0.0,NO
22,26,0.0,NO
23,669,0.44,YES
24,398,0.4,NO
25,206,0.96,YES
26,24,0.0,NO
27,24,0.0,NO
28,27,0.0,NO
29,30,0.0,NO
30,428,0.015,NO
31,972,0.04,NO
32,123,0.35833333333333334,NO
33,562,0.0,NO
34,205,0.91,NO
35,37,0.0,NO
36,35,0.0,NO
37,276,0.01,NO
38,316,0.0,NO
39,204,0.6327983405483405,NO
40,133,0.39,NO
41,285,0.0,NO
42,336,0.0,NO
43,464,0.99,NO
44,294,0.065,NO
45,76,0.16,NO
46,69,0.0,NO
47,266,0.24,NO
48,247,0.925,NO
49,217,0.83,NO
50,99,0.0,NO
51,191,0.0,NO
52,476,0.53,NO
53,95,0.0,NO
54,550,0.26,NO
55,136,0.0,NO
56,33,0.0,NO
57,479,0.46,YES
58,140,0.62,NO
59,111,0.11,NO
60,34,0.0,NO
61,39,0.0,NO
62,36,0.0,NO
63,202,0.11,YES
64,106,0.08,NO
65,57,0.0,NO
66,43,0.0,NO
67,27,0.0,NO
68,25,0.0,NO
69,53,0.0,NO
70,88,0.06,YES
71,107,0.02,NO
72,132,0.66,NO
73,169,0.04,NO
74,80,0.0,NO
75,29,0.0,NO
76,430,0.01,NO
77,79,0.0,NO
78,85,0.0,NO
79,110,0.23363492063492064,NO
80,111,0.13,NO
81,53,0.52,NO
82,52,0.0,NO
83,155,0.82,NO
84,270,0.01,YES
85,183,0.01,NO
86,215,0.1,NO
87,76,0.0,NO
88,285,0.69,YES
89,258,0.56,NO
90,55,0.0,NO
91,102,0.027980769230769233,NO
92,403,0.29,NO
93,35,0.0,NO
94,144,0.6391666666666667,YES
95,119,0.18,NO
96,71,0.01,YES
97,75,0.2,YES
98,69,0.0,NO
99,80,0.09875,YES
100,63,0.0,NO
101,120,0.81,YES
102,98,0.24,YES
103,54,0.0,NO
104,267,0.0,NO
105,55,0.0,NO
106,46,0.01,NO
107,226,0.01,NO
108,54,0.0,NO
109,270,0.0,NO
110,74,0.0,NO
111,359,0.02,NO
112,78,0.0,NO
113,180,0.0,NO
114,57,0.02,NO
115,50,0.0,NO
116,243,0.06,NO
117,254,0.05,NO
118,306,0.0,NO
119,139,0.04,NO
120,375,0.3,NO
121,75,0.34,NO
122,222,0.04,NO
123,61,0.12,NO
124,98,0.02,NO
125,28,0.0,NO
126,55,0.0,NO
127,194,0.07,NO
128,28,0.0,NO
129,50,0.0,NO
130,55,0.21,NO
131,118,0.05,NO
132,87,0.43,NO
133,65,0.19,NO
134,144,0.7677777777777777,NO
135,117,0.007857142857142858,NO
136,28,0.0,NO
137,57,0.0,NO
138,60,0.0,NO
139,62,0.0,NO
140,89,0.29,NO
141,60,0.0,NO
142,68,0.1,NO
143,522,0.0,NO
144,43,0.02,NO
145,247,0.13,NO
146,35,0.0,NO
147,42,0.08,NO
148,57,0.0,NO
149,91,0.06,NO
150,61,0.0,NO
151,92,0.0,NO
152,93,0.06,NO
153,80,0.0,NO
154,101,0.0,NO
155,59,0.0,NO
156,84,0.06,NO
157,82,0.0,NO
158,132,0.30722222222222223,NO
159,143,0.5791666666666667,NO
160,78,0.24,NO
161,66,0.29,NO
162,66,0.29,NO
163,85,0.0,YES
164,54,0.0,NO
165,77,0.37384415584415576,NO
166,137,0.26066666666666666,NO
167,130,0.79,NO
168,79,0.01,NO
169,76,0.01,NO
170,81,0.21,NO
171,98,0.0,NO
172,115,0.24674603174603174,NO
173,180,0.0,NO
174,118,0.007857142857142858,NO
175,64,0.0,NO
176,95,0.04,NO
177,88,0.21,NO
178,51,0.0,NO
179,120,0.27,NO
