InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.55,NO,18
1,0.27,NO,44
2,0.21,NO,34
3,0.09,NO,19
4,0.0,NO,8
5,0.0,NO,7
6,0.35,NO,402
7,0.29,NO,1169
8,0.0,NO,5
9,0.0,NO,16
10,0.0,NO,11
11,0.18,NO,143
12,0.0,NO,4
13,0.15,NO,141
14,0.0,NO,16
15,0.37,NO,40
16,0.0,NO,16
17,0.08,NO,173
18,0.0,NO,168
19,0.0,NO,261
20,0.06,NO,275
21,0.0,NO,97
22,0.0,NO,12
23,0.0,NO,53
24,0.0,NO,35
25,0.0,NO,18
26,0.0,NO,13
27,0.0,NO,9
28,0.18088492063492062,NO,50
29,0.0,NO,6
30,0.0,NO,5
31,0.36,NO,713
32,0.46,NO,273
33,0.22,NO,140
34,0.0,NO,4
35,0.0,NO,4
36,0.0,NO,5
37,0.03166666666666666,NO,120
38,0.0,NO,5
39,0.01,NO,346
40,0.0,NO,652
41,0.0,NO,68
42,0.0,NO,363
43,0.01,NO,126
44,0.0,NO,7
45,0.0,NO,7
46,0.0,NO,31
47,0.0,NO,94
48,0.09925869473663593,NO,154
49,0.0,NO,75
50,0.0,NO,40
51,0.0,NO,84
52,0.0125,NO,582
53,0.29733333333333334,NO,213
54,0.0,NO,49
55,0.0,NO,36
56,0.0,NO,144
57,0.23,NO,193
58,0.01,NO,152
59,0.028782467532467527,NO,59
60,0.0,NO,98
61,0.0,NO,363
62,0.0,NO,44
63,0.20580952380952383,NO,360
64,0.0,NO,82
65,0.0,NO,10
66,0.38,NO,409
67,0.05,NO,104
68,0.02,NO,78
69,0.0,NO,10
70,0.0,NO,12
71,0.0,NO,12
72,0.21,NO,215
73,0.02,NO,40
74,0.0,NO,30
75,0.0,NO,75
76,0.0,NO,30
77,0.0,NO,11
78,0.0,NO,4
79,0.0,NO,27
80,0.05512628044569762,NO,15
81,0.0,NO,52
82,0.0,NO,70
83,0.0,NO,81
84,0.0,NO,119
85,0.01,NO,55
86,0.01,NO,14
87,0.53,NO,508
88,0.0,NO,82
89,0.0,NO,5
90,0.0,NO,45
91,0.0,NO,54
92,0.0,NO,51
93,0.13,NO,88
94,0.0,NO,26
95,0.0,NO,27
96,0.32,NO,124
97,0.43,NO,335
98,0.0,NO,111
99,0.0,NO,95
100,0.0,NO,10
101,0.14,NO,385
102,0.01,NO,182
103,0.0,NO,30
104,0.0,NO,68
105,0.0,NO,324
106,0.0,NO,7
107,0.02,NO,101
108,0.0,NO,80
109,0.0,NO,47
110,0.012857142857142853,NO,63
111,0.0,NO,40
112,0.1864354256854257,NO,48
113,0.0,NO,34
114,0.01,NO,112
115,0.8164474177353434,NO,72
116,0.0,NO,27
117,0.0,NO,165
118,0.0,NO,28
119,0.0,NO,19
120,0.0,NO,161
121,0.0,NO,20
122,0.0,NO,194
123,0.0,NO,38
124,0.0,NO,212
125,0.0,NO,45
126,0.0,NO,107
127,0.0,NO,11
128,0.0,NO,22
129,0.0,NO,126
130,0.0,NO,191
131,0.0,NO,198
132,0.0,NO,65
133,0.22,NO,265
134,0.0,NO,44
135,0.0,NO,139
136,0.0,NO,29
137,0.0,NO,66
138,0.0,NO,6
139,0.0,NO,30
140,0.02,NO,115
141,0.0,NO,5
142,0.0,NO,23
143,0.0,NO,20
144,0.02,NO,78
145,0.0,NO,54
146,0.0,NO,27
147,0.0,NO,91
148,0.02,NO,94
149,0.0,NO,75
150,0.0,NO,5
151,0.0,NO,26
152,0.0,NO,30
153,0.0,NO,32
154,0.03,NO,57
155,0.0,NO,31
156,0.01,NO,41
157,0.23652417027417022,NO,441
158,0.0,NO,19
159,0.01,NO,193
160,0.0,NO,11
161,0.0,NO,12
162,0.0,NO,31
163,0.26,NO,69
164,0.0,NO,33
165,0.0,NO,54
166,0.0,NO,54
167,0.0,NO,48
168,0.0,NO,66
169,0.0,NO,30
170,0.0,NO,50
171,0.0,NO,52
172,0.4,NO,117
173,0.06,NO,71
174,0.16,NO,15
175,0.02,NO,9
176,0.02,NO,9
177,0.18,NO,268
178,0.1864354256854257,NO,48
179,0.0,NO,36
180,0.07,NO,197
181,0.19249368686868684,NO,59
182,0.0,NO,27
183,0.0810176628926629,NO,62
184,0.20430692918192925,NO,64
185,0.0,NO,30
186,0.0,NO,47
187,0.0,NO,107
188,0.18,NO,95
189,0.0,NO,47
190,0.0,NO,49
191,0.0,NO,56
192,0.06,NO,64
193,0.0,NO,86
194,0.0,NO,139
195,0.0,NO,85
196,0.015,NO,85
197,0.20697619047619045,NO,65
198,0.0,NO,56
199,0.0,NO,9
200,0.12552036199095024,NO,69
