InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,28,2.729475296804608E-4,NO
1,28,2.729475296804608E-4,NO
2,387,4.3924797350581966E-4,NO
3,1087,8.498158390322277E-5,NO
4,25,2.703494591599068E-4,NO
5,50,2.884920217849918E-4,NO
6,76,3.0642088867180873E-4,NO
7,38,2.8073227466771724E-4,NO
8,168,3.6586052381368066E-4,NO
9,268,4.144620380157165E-4,YES
10,374,4.3854067931616323E-4,YES
11,145,3.513817389172456E-4,YES
12,85,3.1273721483973096E-4,NO
13,64,2.987749712616425E-4,NO
14,36,2.7813944747971886E-4,NO
15,36,2.7813944747971886E-4,NO
16,36,2.7813944747971886E-4,NO
17,26,2.716486176551415E-4,NO
18,491,4.2667994268294474E-4,NO
19,354,4.3640354914958353E-4,YES
20,196,3.814010904899442E-4,NO
21,24,2.703494591599068E-4,NO
22,27,2.729475296804608E-4,NO
23,69,3.0133082761858336E-4,YES
24,56,2.923581114854533E-4,NO
25,26,2.716486176551415E-4,NO
26,187,3.763724971708891E-4,NO
27,983,1.353209539800022E-4,NO
28,252,4.0789355486165434E-4,NO
29,620,3.705306173681499E-4,NO
30,37,2.7943617556730027E-4,NO
31,35,2.7813944747971886E-4,NO
32,286,4.2032633278196605E-4,NO
33,232,3.989621870767224E-4,NO
34,203,3.853074077482008E-4,NO
35,270,4.1514903030350647E-4,NO
36,425,4.38452667318825E-4,NO
37,244,4.047575435550073E-4,NO
38,74,3.0515125062914426E-4,NO
39,69,3.0133082761858336E-4,NO
40,228,3.972366812906012E-4,YES
41,231,3.989621870767224E-4,NO
42,202,3.843407964659385E-4,NO
43,99,3.2147825658448227E-4,NO
44,191,3.784029115183892E-4,NO
45,447,4.3598226245201977E-4,YES
46,95,3.189940952792872E-4,NO
47,549,4.066348103043209E-4,NO
48,136,3.455969255362918E-4,NO
49,40,2.820276801097686E-4,NO
50,86,3.1273721483973096E-4,NO
51,90,3.164990318377902E-4,NO
52,79,3.089539986863204E-4,NO
53,85,3.1273721483973096E-4,NO
54,59,2.9492918398542713E-4,NO
55,112,3.300788876636229E-4,NO
56,52,2.897818935767355E-4,NO
57,157,3.592846297509223E-4,YES
58,74,3.0515125062914426E-4,NO
59,230,3.981032303780319E-4,YES
60,206,3.862672687403581E-4,YES
61,55,2.923581114854533E-4,NO
62,29,2.742461321630894E-4,NO
63,111,3.300788876636229E-4,NO
64,98,3.2147825658448227E-4,NO
65,43,2.8332232697290266E-4,NO
66,54,2.9107061231739144E-4,NO
67,205,3.862672687403581E-4,NO
68,121,3.3612291520809475E-4,NO
69,107,3.276372921560807E-4,NO
70,74,3.0515125062914426E-4,NO
71,76,3.0642088867180873E-4,NO
72,33,2.7684215482198777E-4,NO
73,426,0.6538898506396407,YES
74,146,3.525251289049616E-4,NO
75,125,3.385150662740294E-4,NO
76,75,3.0515125062914426E-4,NO
77,47,2.8590908406429257E-4,YES
78,34,2.7684215482198777E-4,NO
79,39,2.8073227466771724E-4,NO
80,36,2.7813944747971886E-4,NO
81,79,3.089539986863204E-4,NO
82,28,2.729475296804608E-4,NO
83,422,4.3859140836143104E-4,NO
84,212,3.8910572686050873E-4,NO
85,88,3.139936240014174E-4,NO
86,57,2.9364432435185036E-4,NO
87,43,2.8332232697290266E-4,NO
88,27,2.729475296804608E-4,NO
89,25,2.703494591599068E-4,NO
90,53,2.9107061231739144E-4,NO
91,108,3.276372921560807E-4,YES
92,102,3.2395095676867496E-4,NO
93,85,3.1273721483973096E-4,NO
94,54,2.9107061231739144E-4,NO
95,78,3.076884942848562E-4,NO
96,98,3.2147825658448227E-4,NO
97,78,3.076884942848562E-4,NO
98,77,3.076884942848562E-4,YES
99,97,3.2023757360869615E-4,NO
100,176,3.701351766161546E-4,NO
101,123,3.37320879565513E-4,NO
102,51,2.897818935767355E-4,NO
103,71,3.026061516804984E-4,NO
104,94,3.189940952792872E-4,NO
