InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.0,NO,8
1,0.0,NO,7
2,0.0,NO,279
3,0.0,NO,836
4,0.0,NO,5
5,0.038380230880230876,NO,16
6,0.0,NO,36
7,0.4691685553009081,NO,14
8,0.1,NO,116
9,0.0,NO,189
10,0.0,NO,254
11,0.0,NO,100
12,0.0,NO,53
13,0.0,NO,35
14,0.0,NO,13
15,0.0,NO,8
16,0.0,NO,7
17,0.0,NO,5
18,0.0,NO,409
19,0.0,NO,235
20,0.33,NO,125
21,0.0,NO,4
22,0.0,NO,5
23,0.53,NO,42
24,0.0,NO,29
25,0.0,NO,5
26,0.01,NO,152
27,0.0,NO,648
28,0.05,NO,178
29,0.0,NO,418
30,0.0,NO,7
31,0.0,NO,7
32,0.02,NO,32
33,0.0,NO,76
34,0.01,NO,154
35,0.02,NO,36
36,0.0,NO,363
37,0.0,NO,194
38,0.04,NO,47
39,0.01,NO,36
40,0.23,NO,123
41,0.0,NO,181
42,0.02,NO,149
43,0.0,NO,58
44,0.0,NO,98
45,0.0,NO,335
46,0.0,NO,44
47,0.0,NO,358
48,0.0,NO,82
49,0.7352226678550209,NO,15
50,0.0,NO,50
51,0.0,NO,55
52,0.0,NO,45
53,0.0,NO,54
54,0.0,NO,13
55,0.0,NO,80
56,0.0,NO,27
57,0.0,NO,70
58,0.0,NO,10
59,0.07,NO,167
60,0.02,NO,143
61,0.0,NO,30
62,0.0,NO,5
63,0.0,NO,74
64,0.0,NO,66
65,0.015324675324675326,NO,17
66,0.0,NO,27
67,0.1,NO,128
68,0.0,NO,75
69,0.01,NO,68
70,0.01,NO,38
71,0.01,NO,49
72,0.0,NO,10
73,0.78,NO,346
74,0.0,NO,109
75,0.0,NO,87
76,0.04,NO,43
77,0.21567279942279943,NO,22
78,0.0,NO,10
79,0.0,NO,12
80,0.0,NO,12
81,0.0,NO,46
82,0.0,NO,8
83,0.0,NO,336
84,0.0,NO,168
85,0.0,NO,57
86,0.0075,NO,29
87,0.015324675324675326,NO,18
88,0.0,NO,7
89,0.0,NO,4
90,0.0,NO,27
91,0.0,NO,72
92,0.0,NO,70
93,0.0,NO,62
94,0.0,NO,30
95,0.0,NO,49
96,0.0,NO,69
97,0.0,NO,46
98,0.0,NO,52
99,0.0,NO,61
100,0.06,NO,135
101,0.27,NO,91
102,0.0,NO,9
103,0.0,NO,36
104,0.0,NO,62
