InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,168,0.0,168
1,227,0.0,227
2,373,0.0,373
3,87,0.0,87
4,288,0.0,288
5,901,0.08,901
6,21,0.0,21
7,111,0.0,111
8,5,0.0,5
9,687,0.1,687
10,121,0.0,121
11,202,0.18,202
12,367,0.05,367
13,9,0.0,9
14,259,0.21,259
15,322,0.0,322
16,7,0.0,7
17,380,0.03,380
18,8,0.0,8
19,39,0.0,39
20,116,0.01,116
21,364,0.01,364
22,106,0.0,106
23,16,0.0,16
24,4,0.0,4
25,712,0.13,712
26,10,0.0,10
27,29,0.0,29
28,48,0.0,48
29,23,0.0,23
30,158,0.15,158
31,133,0.0,133
32,18,0.0,18
33,83,0.0,83
34,24,0.0,24
35,15,0.0,15
36,60,0.36,60
37,29,0.0,29
38,258,0.05,258
39,237,0.04,237
40,396,0.05,396
41,201,0.11,201
42,30,0.0,30
43,115,0.0,115
44,15,0.0,15
45,183,0.48,183
46,62,0.0,62
47,27,0.01,27
48,39,0.0,39
49,77,0.13,77
50,278,0.19,278
51,564,0.08,564
52,304,0.09,304
53,116,0.0,116
54,93,0.0,93
55,51,0.0,51
56,105,0.0,105
57,262,0.09,262
58,83,0.0,83
59,65,0.0,65
60,68,0.0,68
61,47,0.0,47
62,89,0.07,89
63,89,0.05,89
64,244,0.07,244
65,4,0.0,4
66,44,0.0,44
67,181,0.19,181
68,102,0.0,102
69,57,0.61,57
70,306,0.08,306
71,58,0.63,58
72,126,0.22,126
73,49,0.0,49
74,134,0.55,134
75,25,0.36,25
76,474,0.31,474
77,463,0.93,463
78,42,0.08,42
79,43,0.25,43
80,65,0.01,65
81,285,0.36,285
82,143,0.5,143
83,13,0.33,13
84,4,0.0,4
85,31,0.04,31
86,13,0.0,13
87,12,0.0,12
88,20,0.28,20
89,20,0.42,20
90,22,0.02,22
91,89,0.0,89
92,107,0.36,107
93,143,0.0,143
94,216,0.0,216
95,62,0.0,62
96,481,0.01,481
97,56,0.0,56
98,10,0.0,10
99,59,0.0,59
100,3670,0.17,3670
101,381,0.0,381
102,509,0.03,509
103,107,0.0,107
104,399,0.53,399
105,210,0.68,210
106,200,0.11,200
107,95,0.2,95
108,20,0.0,20
109,33,0.52,33
110,274,0.63,274
111,104,0.0,104
112,84,0.0,84
113,39,0.0,39
114,16,0.0,16
115,87,0.18,87
116,30,0.13,30
117,395,0.0,395
118,40,0.0,40
119,194,0.0,194
120,22,0.0,22
121,14,0.0,14
122,69,0.0,69
123,69,0.07,69
124,15,0.0,15
125,67,0.01,67
126,20,0.0,20
127,57,0.07,57
128,6,0.0,6
129,130,0.09,130
130,28,0.0,28
131,21,0.0,21
132,48,0.02,48
133,28,0.0,28
134,6,0.0,6
135,7,0.0,7
136,14,0.0,14
137,50,0.0,50
138,95,0.0,95
139,94,0.0,94
140,137,0.0,137
141,24,0.0,24
142,109,0.0,109
143,76,0.0,76
144,22,0.0,22
145,105,0.01,105
146,41,0.0,41
147,10,0.0,10
148,10,0.0,10
149,10,0.0,10
150,9,0.0,9
151,10,0.0,10
152,10,0.0,10
153,83,0.54,83
154,52,0.01,52
155,63,0.11,63
156,44,0.0,44
157,40,0.0,40
158,47,0.11,47
159,51,0.0,51
160,97,0.05,97
161,40,0.15,40
162,9,0.0,9
163,32,0.51,32
164,65,0.07,65
165,101,0.06,101
166,306,0.13,306
167,114,0.2,114
168,23,0.0,23
169,17,0.0,17
170,386,0.14,386
171,301,0.08,301
172,209,0.2,209
173,40,0.08,40
174,50,0.06,50
175,170,0.32,170
176,231,0.49,231
177,24,0.0,24
178,61,0.3,61
179,59,0.16,59
180,239,0.17,239
181,95,0.35,95
182,26,0.0,26
183,269,0.08,269
184,195,0.17,195
185,26,0.0,26
186,1,0.04,1
187,17,0.0,17
188,34,0.0,34
189,22,0.0,22
190,3,0.0,3
191,9,0.0,9
192,44,0.5,44
193,9,0.0,9
194,6,0.0,6
195,93,0.0,93
196,26,0.0,26
197,24,0.0,24
198,61,0.0,61
199,76,0.0,76
200,18,0.0,18
201,18,0.0,18
202,29,0.0,29
203,7,0.0,7
204,6,0.0,6
205,194,0.03,194
206,15290,0.11,15290
207,47,0.25,47
208,90,0.0,90
209,39,0.01,39
210,65,0.0,65
211,353,0.07,353
212,335,0.0,335
213,842,0.05,842
214,66,0.0,66
215,246,0.0,246
216,86,0.09,86
217,62,0.0,62
218,68,0.0,68
219,54,0.0,54
220,69,0.0,69
221,14,0.0,14
222,281,0.03,281
223,11,0.0,11
224,74,0.0,74
225,10,0.0,10
226,55,0.0,55
227,6,0.0,6
228,6,0.0,6
229,22,0.0,22
230,559,0.07,559
231,40,0.0,40
232,5,0.0,5
233,74,0.4,74
234,43,0.0,43
235,6,0.0,6
236,21,0.0,21
237,4,0.0,4
238,63,0.0,63
239,169,0.06,169
240,138,0.47,138
241,75,0.0,75
242,5,0.0,5
243,4,0.0,4
244,17,0.0,17
245,85,0.02,85
246,93,0.05,93
247,706,0.0,706
248,25,0.15,25
249,21,0.48,21
250,16,0.18,16
251,662,0.09,662
252,392,0.04,392
253,46,0.0,46
254,11,0.0,11
255,37,0.0,37
256,131,0.0,131
257,104,0.0,104
258,881,0.08,881
259,47,0.0,47
260,57,0.0,57
261,4,0.0,4
262,4,0.0,4
263,347,0.0,347
264,32,0.0,32
265,29,0.0,29
266,16,0.0,16
267,4,0.0,4
268,37,0.0,37
269,459,0.09,459
270,33,0.0,33
271,7,0.0,7
272,10,0.0,10
273,29,0.0,29
274,27,0.0,27
275,85,0.0,85
276,129,0.0,129
277,42,0.02,42
278,13,0.0,13
279,31,0.0,31
280,35,0.0,35
281,78,0.0,78
282,42,0.0,42
283,55,0.0,55
284,41,0.0,41
285,14,0.0,14
286,40,0.0,40
287,51,0.0,51
288,285,0.0,285
289,24,0.0,24
290,601,0.04,601
291,42,0.0,42
292,83,0.0,83
293,138,0.09,138
294,101,0.52,101
295,7,0.0,7
296,17,0.0,17
297,131,0.0,131
298,105,0.23,105
299,77,0.45,77
300,16,0.46,16
301,283,0.65,283
302,13,0.0,13
303,7,0.0,7
304,29,0.0,29
305,241,0.23,241
306,255,0.18,255
307,62,0.0,62
308,13,0.0,13
309,67,0.0,67
310,77,0.0,77
311,11,0.02,11
312,68,0.0,68
313,53,0.21,53
314,52,0.2,52
315,47,0.07,47
316,69,0.03,69
317,289,0.36,289
318,57,0.0,57
319,29,0.0,29
320,64,0.0,64
321,209,0.0,209
322,56,0.0,56
323,5,0.0,5
324,11,0.0,11
325,178,0.0,178
326,15,0.07,15
