InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,215,0.56,NO
1,274,0.2,YES
2,461,0.44,YES
3,138,0.46,NO
4,358,0.17,NO
5,1248,0.55,YES
6,51,0.0,NO
7,45,0.0,NO
8,157,0.72,NO
9,31,0.0,NO
10,1008,0.51,YES
11,55,0.25,NO
12,204,0.43,NO
13,55,0.05,NO
14,103,0.43,NO
15,83,0.12,NO
16,262,0.25,NO
17,83,0.12,NO
18,867,0.42,YES
19,40,0.0,NO
20,387,0.54,YES
21,390,0.46,NO
22,51,0.25,NO
23,637,0.43,YES
24,32,0.32,NO
25,68,0.19,YES
26,547,0.31,YES
27,566,0.55,NO
28,314,0.14,YES
29,839,0.4,YES
30,211,0.56,NO
31,31,0.0,NO
32,50,0.2,NO
33,27,0.0,NO
34,175,0.56,NO
35,50,0.0,NO
36,62,0.28,NO
37,87,0.61,NO
38,52,0.18,NO
39,373,0.16,NO
40,224,0.51,NO
41,118,0.6,YES
42,83,0.13,NO
43,147,0.03,NO
44,58,0.14,NO
45,44,0.26,NO
46,106,0.69,NO
47,189,0.41,NO
48,151,0.61,NO
49,352,0.45,YES
50,849,0.37,YES
51,877,0.39,YES
52,41,0.37,NO
53,319,0.16,YES
54,27,0.25,NO
55,55,0.0,NO
56,94,0.45,NO
57,191,0.64,NO
58,90,0.27,NO
59,90,0.28,NO
60,271,0.4,YES
61,152,0.79,NO
62,90,0.29,YES
63,82,0.13,NO
64,147,0.52,NO
65,422,0.55,YES
66,1059,0.52,YES
67,530,0.21,YES
68,205,0.71,YES
69,190,0.63,NO
70,86,0.27,NO
71,207,0.83,YES
72,397,0.35,YES
73,573,0.36,NO
74,126,0.35,YES
75,167,0.85,NO
76,109,0.36,YES
77,85,0.4686666666666667,NO
78,237,0.33,NO
79,424,0.35,YES
80,47,0.0,NO
81,1118,0.63,YES
82,27,0.0,NO
83,89,0.045,NO
84,474,0.46,YES
85,166,0.67,NO
86,92,0.53,NO
87,476,0.37,NO
88,93,0.46,NO
89,244,0.35,NO
90,204,0.19,NO
91,252,0.24,NO
92,109,0.42,YES
93,618,0.39,NO
94,565,0.47,YES
95,69,0.12,NO
96,77,0.0175,NO
97,97,0.016666666666666666,NO
98,343,0.32,NO
99,214,0.16,NO
100,79,0.01,NO
101,25,0.0,NO
102,84,0.19,NO
103,34,0.0,NO
104,33,0.23,NO
105,104,0.03,NO
106,172,0.37,NO
107,70,0.19,NO
108,140,0.14,NO
109,156,0.69,NO
110,142,0.44,NO
111,152,0.64,NO
112,31,0.0,NO
113,60,0.43,NO
114,60,0.19,NO
115,876,0.49,NO
116,61,0.52,NO
117,185,0.34,NO
118,264,0.4,NO
119,43,0.25,NO
120,248,0.17,NO
121,310,0.41,YES
122,199,0.35,NO
123,194,0.65,NO
124,346,0.33,NO
125,90,0.51,NO
126,335,0.22,YES
127,372,0.28,NO
128,84,0.04066666666666666,NO
129,53,0.0,NO
130,148,0.61,NO
131,4088,0.45,NO
132,860,0.41,YES
133,47,0.19,NO
134,101,0.01,NO
135,517,0.45,YES
136,327,0.17,YES
137,275,0.34,YES
138,136,0.4,NO
139,56,0.08,NO
140,74,0.17,YES
141,362,0.24,YES
142,174,0.06,NO
143,148,0.62,NO
144,92,0.42,NO
145,45,0.25,YES
146,39,0.32,NO
147,182,0.54,NO
148,77,0.13,NO
149,666,0.32,NO
150,88,0.57,YES
151,263,0.14,YES
152,54,0.0,NO
153,76,0.22,YES
154,132,0.32,NO
155,160,0.82,YES
156,152,0.13,NO
157,39,0.32,NO
158,677,0.35,NO
159,131,0.05,NO
160,47,0.19,NO
161,129,0.3,NO
162,43,0.15,NO
163,73,0.05,NO
164,257,0.41,NO
165,356,0.35,NO
166,62,0.02,NO
167,45,0.0,NO
168,97,0.42,NO
169,131,0.26,YES
170,68,0.47,YES
171,99,0.34,NO
172,53,0.0,NO
173,81,0.14,NO
174,78,0.15,YES
175,69,0.18,NO
176,69,0.35,NO
177,77,0.06,NO
178,72,0.09,NO
179,72,0.63,NO
180,63,0.12,NO
181,50,0.0,NO
182,28,0.0,NO
183,96,0.28,NO
184,40,0.25,NO
185,76,0.02,NO
186,49,0.25,NO
187,63,0.16,NO
188,55,0.25,NO
189,45,0.25,NO
190,476,0.11,NO
191,77,0.01,NO
192,69,0.26,NO
193,104,0.04666666666666666,NO
194,115,0.0,NO
195,421,0.04,NO
196,61,0.006666666666666665,NO
197,2009,0.06,NO
198,179,0.01,NO
199,106,0.67,NO
200,33,0.09666666666666666,NO
201,657,0.06,NO
202,295,0.09,NO
203,872,0.08,NO
204,444,0.03,NO
205,168,0.0,NO
206,752,0.05,NO
207,135,0.02,NO
208,1126,0.12,NO
209,163,0.0,NO
210,184,0.02,NO
211,51,0.0,NO
212,25,0.09666666666666666,NO
213,180,0.02,NO
214,64,0.05,NO
215,101,0.0,NO
216,512,0.15,NO
217,187,0.03,NO
218,56,0.0,NO
219,39,0.0,NO
220,261,0.23,NO
221,73,0.0,NO
222,65,0.02,NO
223,329,0.12,NO
224,64,0.11,NO
225,164,0.02,NO
226,624,0.22,NO
227,74,0.0,NO
228,117,0.0,NO
229,84,0.0,NO
230,226,0.1,NO
231,76,0.0,NO
232,323,0.26,NO
233,72,0.0,NO
234,42,0.0,NO
235,48,0.0,NO
236,89,0.05,NO
237,380,0.04,NO
238,141,0.1,NO
239,148,0.053000000000000005,NO
240,191,0.04,NO
241,46,0.01,NO
242,165,0.01,NO
243,171,0.24,NO
244,56,0.0,NO
245,179,0.02,NO
246,74,0.0,NO
247,36,0.0,NO
248,37,0.0,NO
249,34,0.0,NO
250,34,0.0,NO
251,38,0.0225,NO
252,39,0.0,NO
253,156,0.05,NO
254,84,0.03,NO
255,117,0.0,NO
256,94,0.05833333333333334,NO
257,71,0.0,NO
258,183,0.027999999999999997,NO
259,85,0.37133333333333335,NO
260,183,0.2,NO
261,70,0.0,NO
262,54,0.0,NO
263,160,0.055,NO
264,128,0.0,NO
265,151,0.13,NO
266,422,0.0,NO
267,221,0.02,NO
268,50,0.08,NO
269,42,0.0,NO
270,624,0.16,NO
271,377,0.27,NO
272,382,0.04,NO
273,72,0.0,NO
274,92,0.01,NO
275,282,0.11,NO
276,371,0.11,NO
277,47,0.0,NO
278,108,0.0,NO
279,111,0.0,NO
280,319,0.4,NO
281,129,0.01,NO
282,49,0.0,NO
283,358,0.25,NO
284,277,0.04,NO
285,49,0.0,NO
286,89,0.0,NO
287,41,0.0,NO
288,66,0.0,NO
289,63,0.06,NO
290,24,0.0,NO
291,50,0.0,NO
292,72,0.0,NO
293,47,0.07,NO
294,47,0.0,NO
295,183,0.0,NO
296,49,0.0,NO
297,50,0.0,NO
298,98,0.01,NO
299,143,0.0,NO
300,43,0.0,NO
301,42,0.0,NO
302,56,0.0,NO
303,44,0.0,NO
304,26,0.0,NO
305,254,0.02,NO
306,16883,0.18,NO
307,74,0.0,NO
308,153,0.0,NO
309,68,0.04,NO
310,100,0.03303571428571428,NO
311,550,0.06,NO
312,437,0.04,NO
313,1038,0.21,NO
314,104,0.17,NO
315,332,0.1,NO
316,123,0.0,NO
317,106,0.02,NO
318,106,0.06,NO
319,94,0.5300238095238096,NO
320,101,0.01,NO
321,38,0.4273333333333333,NO
322,628,0.39,YES
323,32,0.0,NO
324,111,0.0,NO
325,35,0.0,NO
326,90,0.02,NO
327,27,0.0,NO
328,28,0.0,NO
329,92,0.01,NO
330,979,0.78,NO
331,67,0.01,NO
332,29,0.0,NO
333,105,0.13666666666666663,NO
334,72,0.01,NO
335,37,0.0,NO
336,47,0.0,NO
337,31,0.0,NO
338,90,0.08,NO
339,223,0.11,NO
340,214,0.0,NO
341,107,0.0,NO
342,37,0.0,NO
343,27,0.0,NO
344,48,0.0,NO
345,167,0.24,NO
346,213,0.0,NO
347,867,0.06,NO
348,159,0.021,NO
349,100,0.0,NO
350,96,0.5046666666666666,NO
351,842,0.04,NO
352,535,0.08,NO
353,83,0.04,NO
354,63,0.0,NO
355,76,0.0,NO
356,202,0.02,NO
357,155,0.03,NO
358,1263,0.12,NO
359,74,0.0,NO
360,101,0.12,NO
361,27,0.0,NO
362,22,0.0,NO
363,491,0.15,NO
364,62,0.0,NO
365,59,0.09754761904761905,NO
366,99,0.024166666666666666,NO
367,27,0.0,NO
368,77,0.01,NO
369,863,0.54,NO
370,64,0.0,NO
371,45,0.0,NO
372,63,0.0,NO
373,54,0.0,NO
374,64,0.0,NO
375,132,0.0,NO
376,182,0.14,NO
377,70,0.0,NO
378,36,0.0,NO
379,58,0.0,NO
380,62,0.03,NO
381,132,0.0,NO
382,74,0.0,NO
383,86,0.01,NO
384,74,0.0,NO
385,48,0.0,NO
386,74,0.0,NO
387,86,0.0,NO
388,355,0.04,NO
389,53,0.0,NO
390,804,0.23,NO
391,75,0.0,NO
392,125,0.0,NO
393,200,0.0,NO
394,134,0.02,NO
395,57,0.0,NO
396,123,0.0,NO
397,266,0.16,YES
398,162,0.3955,NO
399,130,0.0,YES
400,108,0.0,YES
401,354,0.12,YES
402,88,0.03,YES
403,28,0.0,NO
404,58,0.0,NO
405,308,0.2,YES
406,343,0.21,YES
407,103,0.03,NO
408,35,0.0,NO
409,98,0.22568253968253965,NO
410,117,0.0,NO
411,356,0.25,NO
412,577,0.64,YES
